Player,Team,Att,Yds,Y/A,TD,1stD,Long,Fumb,FumL,Date
Tyrone Tracy Jr.,NYG,14,71,5.1,0,3,16,0,0,11/9
David Montgomery,DET,15,71,4.7,0,3,12,0,0,11/9
Jaylen Warren,PIT,14,70,5,0,4,14,0,0,11/9
Kenneth Walker III,SEA,14,67,4.8,0,3,24,0,0,11/9
Jaxson Dart,NYG,6,66,11,2,3,24,1,1,11/9
Emari Demercado,ARI,4,64,16,0,1,55,0,0,11/9
Woody Marks,HOU,14,63,4.5,1,4,21,0,0,11/9
Caleb Williams,CHI,8,63,7.9,1,3,29,0,0,11/9
Ashton Jeanty,LV,19,60,3.2,1,3,10,1,0,11/9
Saquon Barkley,PHI,22,60,2.7,0,2,15,0,0,11/9
Travis Etienne Jr.,JAX,16,58,3.6,1,3,13,0,0,11/9
Tyler Allgeier,ATL,11,57,5.2,2,5,13,0,0,11/9
Blake Corum,LAR,13,56,4.3,0,4,15,0,0,11/9
Dillon Gabriel,CLE,5,54,10.8,0,3,19,0,0,11/9
Daniel Jones,IND,7,53,7.6,0,3,19,3,1,11/9
James Cook III,BUF,13,53,4.1,0,2,14,1,1,11/9
Sean Tucker,TB,9,53,5.9,0,5,18,0,0,11/9
Rico Dowdle,CAR,18,53,2.9,1,4,14,0,0,11/9
J.J. McCarthy,MIN,5,48,9.6,0,1,26,0,0,11/9
Aaron Jones Sr.,MIN,9,47,5.2,1,3,17,0,0,11/9
Nick Chubb,HOU,5,47,9.4,0,3,19,0,0,11/9
Brian Robinson Jr.,SF,8,41,5.1,1,4,13,0,0,11/9
Rachaad White,TB,10,38,3.8,0,2,7,0,0,11/9
Lamar Jackson,BAL,9,36,4,0,3,8,1,0,11/9
Trevor Lawrence,JAX,5,35,7,0,2,21,2,1,11/9
Malachi Corley,CLE,2,32,16,0,2,16,0,0,11/9
Josh Allen,BUF,4,31,7.8,0,2,15,1,1,11/9
Keaton Mitchell,BAL,4,31,7.8,0,1,22,1,0,11/9
Jacoby Brissett,ARI,4,31,7.8,0,1,15,2,2,11/9
George Holani,SEA,7,31,4.4,1,3,9,0,0,11/9
Christian McCaffrey,SF,12,30,2.5,0,3,5,0,0,11/9
Jacory Croskey-Merritt,WAS,11,30,2.7,0,0,6,0,0,11/9
Bam Knight,ARI,10,28,2.8,0,4,11,0,0,11/9
Jordan Love,GB,5,28,5.6,0,2,12,2,1,11/9
Kyle Monangai,CHI,7,28,4,1,1,9,0,0,11/9
Justin Fields,NYJ,7,28,4,0,2,13,0,0,11/9
Jalen Hurts,PHI,5,27,5.4,0,1,10,1,1,11/9
Jordan Mason,MIN,4,25,6.3,0,2,13,0,0,11/9
Jeremy McNichols,WAS,5,25,5,0,2,9,0,0,11/9
Ashton Dulin,IND,1,22,22,0,1,22,0,0,11/9
Marcus Mariota,WAS,5,22,4.4,0,1,9,0,0,11/9
Devin Neal,NO,4,22,5.5,0,1,14,0,0,11/9
Rashid Shaheed,SEA,2,20,10,0,2,10,1,0,11/9
Davis Mills,HOU,3,20,6.7,1,1,14,1,0,11/9
Devin Singletary,NYG,8,20,2.5,0,1,6,0,0,11/9
Taysom Hill,NO,7,20,2.9,0,3,5,0,0,11/9
Justin Herbert,LAC,5,19,3.8,0,2,15,0,0,11/9
Jaylen Wright,MIA,5,17,3.4,0,1,18,0,0,11/9
Will Shipley,PHI,4,17,4.3,0,1,7,0,0,11/9
Chris Rodriguez Jr.,WAS,6,16,2.7,1,2,9,0,0,11/9
Chuba Hubbard,CAR,3,14,4.7,0,0,6,0,0,11/9
Arian Smith,NYJ,1,13,13,0,1,13,0,0,11/9
Drake Maye,NE,7,13,1.9,0,0,5,0,0,11/9
Russell Wilson,NYG,2,12,6,0,1,11,0,0,11/9
Sterling Shepard,TB,1,11,11,0,1,11,0,0,11/9
Kameron Johnson,TB,1,11,11,0,1,11,0,0,11/9
Isaiah Davis,NYJ,3,10,3.3,0,0,10,0,0,11/9
Kalif Raymond,DET,1,10,10,0,1,10,0,0,11/9
RJ Harvey,DEN,4,9,2.3,0,0,7,0,0,11/9
Geno Smith,LV,3,7,2.3,0,1,6,0,0,11/9
Tre Tucker,LV,1,7,7,0,0,7,0,0,11/9
Tank Bigsby,PHI,3,7,2.3,0,0,5,0,0,11/9
Zay Flowers,BAL,1,6,6,0,0,6,0,0,11/9
Bryce Young,CAR,2,6,3,0,1,6,1,1,11/9
Alec Ingold,MIA,1,6,6,0,1,6,0,0,11/9
Terrell Jennings,NE,4,5,1.3,0,1,2,0,0,11/9
Bhayshul Tuten,JAX,4,5,1.3,0,1,6,0,0,11/9
Tyler Goodson,IND,1,4,4,0,0,4,0,0,11/9
Malik Washington,MIA,1,4,4,0,0,4,0,0,11/9
Raheem Mostert,LV,1,4,4,0,0,4,0,0,11/9
Mitchell Trubisky,BUF,1,4,4,0,0,4,0,0,11/9
Michael Carter,ARI,3,4,1.3,0,0,6,0,0,11/9
Sione Vaki,DET,1,4,4,0,0,4,0,0,11/9
Patrick Ricard,BAL,1,3,3,0,1,3,0,0,11/9
Kaleb Johnson,PIT,2,3,1.5,0,0,5,0,0,11/9
Mac Jones,SF,1,3,3,0,1,3,0,0,11/9
AJ Barner,SEA,2,3,1.5,0,2,2,0,0,11/9
Greg Dortch,ARI,2,2,1,1,1,4,0,0,11/9
Ty Johnson,BUF,1,2,2,0,0,2,0,0,11/9
Emanuel Wilson,GB,1,2,2,0,0,2,0,0,11/9
Justice Hill,BAL,1,1,1,1,1,1,0,0,11/9
Jerome Ford,CLE,1,1,1,0,0,1,0,0,11/9
Jaret Patterson,LAC,1,1,1,0,0,1,0,0,11/9
D'Ernest Johnson,NE,1,1,1,0,0,1,0,0,11/9
DeMario Douglas,NE,1,0,0,0,0,0,0,0,11/9
Michael Penix Jr.,ATL,1,-1,-1,0,0,-1,1,1,11/9
Elijah Moore,BUF,1,-1,-1,0,0,-1,0,0,11/9
Tua Tagovailoa,MIA,2,-1,-0.5,0,0,0,0,0,11/9
Kyle Allen,DET,1,-1,-1,0,0,-1,0,0,11/9
Sam Darnold,SEA,3,-2,-0.7,0,0,0,2,2,11/9
Ray Davis,BUF,2,-2,-1,0,0,-1,0,0,11/9
Bo Nix,DEN,5,-2,-0.4,0,2,1,0,0,11/9
Ollie Gordon II,MIA,1,-3,-3,0,0,-3,0,0,11/9
Matthew Stafford,LAR,3,-3,-1,0,0,-1,0,0,11/9
Tyler Shough,NO,4,-3,-0.8,0,0,3,0,0,11/9
Drew Lock,SEA,4,-4,-1,0,0,0,1,0,11/9
Brock Bowers,LV,1,-4,-4,0,0,-4,0,0,11/9
Dylan Sampson,CLE,2,-4,-2,0,0,3,0,0,11/9
Parker Washington,JAX,2,-4,-2,0,0,4,0,0,11/9
John Metchie III,NYJ,1,-7,-7,0,0,-7,0,0,11/9
Kyle Monangai,CHI,26,176,6.8,0,6,39,0,0,11/2
Rico Dowdle,CAR,25,130,5.2,2,7,29,0,0,11/2
Derrick Henry,BAL,19,119,6.3,0,3,35,0,0,11/2
James Cook III,BUF,27,114,4.2,0,4,17,0,0,11/2
Kyren Williams,LAR,25,114,4.6,1,9,15,0,0,11/2
Christian McCaffrey,SF,28,106,3.8,1,5,16,0,0,11/2
Josh Jacobs,GB,17,87,5.1,1,6,18,0,0,11/2
Travis Etienne Jr.,JAX,22,84,3.8,0,6,20,1,0,11/2
Javonte Williams,DAL,15,83,5.5,0,6,19,1,1,11/2
Emari Demercado,ARI,14,79,5.6,0,4,19,0,0,11/2
Aaron Jones Sr.,MIN,9,78,8.7,0,4,31,0,0,11/2
