Player,Team,Att,Yds,Y/A,TD,1stD,Long,Fumb,FumL,Date
Dylan Sampson,CLE,1,2,2,0,0,2,0,0,9/21
RJ Harvey,DEN,2,2,1,0,0,4,0,0,9/21
Dylan Laube,LV,3,2,0.7,0,0,2,0,0,9/21
Aaron Rodgers,PIT,4,1,0.3,0,0,3,0,0,9/21
Emari Demercado,ARI,2,0,0,0,0,1,0,0,9/21
Savion Williams,GB,2,-1,-0.5,0,0,2,0,0,9/21
Anthony Richardson Sr.,IND,4,-1,-0.3,0,1,2,0,0,9/21
Mac Jones,SF,1,-1,-1,0,0,0,0,0,9/21
Drew Lock,SEA,1,-1,-1,0,0,-1,0,0,9/21
Andy Dalton,CAR,1,-1,-1,0,0,-1,0,0,9/21
Jonathan Taylor,IND,25,165,6.6,0,4,68,0,0,9/14
Bijan Robinson,ATL,22,143,6.5,0,5,25,0,0,9/14
James Cook III,BUF,21,132,6.3,2,6,44,1,0,9/14
Kenneth Walker III,SEA,13,105,8.1,1,7,20,0,0,9/14
Alvin Kamara,NO,21,99,4.7,0,4,15,1,1,9/14
Javonte Williams,DAL,18,97,5.4,1,5,30,0,0,9/14
Jahmyr Gibbs,DET,12,94,7.8,1,5,42,0,0,9/14
Tony Pollard,TEN,20,92,4.6,0,5,10,0,0,9/14
Saquon Barkley,PHI,22,88,4,1,3,13,0,0,9/14
Josh Jacobs,GB,23,84,3.7,1,4,10,0,0,9/14
J.K. Dobbins,DEN,14,76,5.4,1,5,23,0,0,9/14
Tyler Allgeier,ATL,16,76,4.8,1,7,17,0,0,9/14
Travis Etienne Jr.,JAX,14,71,5.1,0,3,30,0,0,9/14
Bucky Irving,TB,17,71,4.2,0,2,10,0,0,9/14
Kyren Williams,LAR,17,66,3.9,0,3,15,0,0,9/14
Patrick Mahomes,KC,7,66,9.4,1,5,22,0,0,9/14
Rachaad White,TB,10,65,6.5,1,4,16,0,0,9/14
D'Andre Swift,CHI,12,63,5.3,1,3,20,1,1,9/14
Quinshon Judkins,CLE,10,61,6.1,0,3,31,0,0,9/14
Josh Allen,BUF,6,59,9.8,0,3,40,0,0,9/14
David Montgomery,DET,11,57,5.2,1,4,18,0,0,9/14
Christian McCaffrey,SF,13,55,4.2,0,4,10,0,0,9/14
Rhamondre Stevenson,NE,11,54,4.9,0,2,21,0,0,9/14
Justin Fields,NYJ,5,49,9.8,0,2,27,2,1,9/14
Jaylen Warren,PIT,14,48,3.4,0,5,9,0,0,9/14
Chase Brown,CIN,16,47,2.9,0,4,11,0,0,9/14
Cam Skattebo,NYG,11,45,4.1,1,3,24,0,0,9/14
Puka Nacua,LAR,1,45,45,1,1,45,0,0,9/14
Blake Corum,LAR,5,44,8.8,1,4,15,0,0,9/14
Ashton Jeanty,LV,11,43,3.9,0,3,13,0,0,9/14
Nick Chubb,HOU,12,43,3.6,1,2,25,0,0,9/14
Bhayshul Tuten,JAX,8,42,5.3,0,0,9,0,0,9/14
Chuba Hubbard,CAR,10,38,3.8,0,4,14,0,0,9/14
James Conner,ARI,11,34,3.1,1,3,8,0,0,9/14
Baker Mayfield,TB,3,33,11,0,3,16,1,0,9/14
Kyler Murray,ARI,7,32,4.6,0,1,30,0,0,9/14
Kareem Hunt,KC,8,31,3.9,0,3,11,1,0,9/14
Drake Maye,NE,10,31,3.1,1,4,13,0,0,9/14
Jerome Ford,CLE,6,31,5.2,0,1,8,0,0,9/14
Justin Herbert,LAC,9,31,3.4,0,2,12,2,1,9/14
De'Von Achane,MIA,11,30,2.7,0,0,9,0,0,9/14
Jordan Mason,MIN,9,30,3.3,0,2,8,0,0,9/14
Breece Hall,NYJ,10,29,2.9,0,2,12,0,0,9/14
Kyle Monangai,CHI,7,28,4,0,2,10,0,0,9/14
Najee Harris,LAC,8,28,3.5,0,2,7,0,0,9/14
Antonio Gibson,NE,5,27,5.4,0,1,15,0,0,9/14
Caleb Williams,CHI,5,27,5.4,0,2,10,0,0,9/14
C.J. Stroud,HOU,4,27,6.8,0,1,19,0,0,9/14
J.J. McCarthy,MIN,5,25,5,0,1,16,3,1,9/14
Savion Williams,GB,2,24,12,0,1,16,0,0,9/14
Ray Davis,BUF,9,24,2.7,0,2,8,0,0,9/14
Omarion Hampton,LAC,8,24,3,0,2,15,0,0,9/14
Russell Wilson,NYG,3,23,7.7,0,1,15,1,0,9/14
Derrick Henry,BAL,11,23,2.1,0,1,8,1,0,9/14
Malik Washington,MIA,3,23,7.7,0,1,18,0,0,9/14
Aaron Jones Sr.,MIN,5,23,4.6,0,0,8,0,0,9/14
Isiah Pacheco,KC,10,22,2.2,0,1,7,0,0,9/14
Tyrod Taylor,NYJ,3,21,7,0,1,15,0,0,9/14
Geno Smith,LV,5,20,4,0,2,15,0,0,9/14
Bo Nix,DEN,3,20,6.7,0,1,18,0,0,9/14
Brian Robinson Jr.,SF,6,20,3.3,0,0,7,0,0,9/14
Kenneth Gainwell,PIT,5,20,4,0,1,13,0,0,9/14
A.J. Dillon,PHI,3,19,6.3,0,1,8,0,0,9/14
Dak Prescott,DAL,3,17,5.7,0,1,14,1,0,9/14
Austin Ekeler,WAS,8,17,2.1,0,2,5,0,0,9/14
Jayden Daniels,WAS,7,17,2.4,0,0,8,0,0,9/14
Jacory Croskey-Merritt,WAS,4,17,4.3,0,1,5,0,0,9/14
Jalen Hurts,PHI,9,15,1.7,1,5,11,1,0,9/14
Matthew Golden,GB,2,15,7.5,0,0,9,0,0,9/14
Miles Sanders,DAL,5,15,3,1,1,6,0,0,9/14
Tyrone Tracy Jr.,NYG,5,15,3,0,2,9,0,0,9/14
Spencer Rattler,NO,4,14,3.5,0,2,9,1,0,9/14
Trey Benson,ARI,3,14,4.7,0,0,11,0,0,9/14
Woody Marks,HOU,3,14,4.7,0,0,7,0,0,9/14
LeQuint Allen Jr.,JAX,2,13,6.5,0,1,9,0,0,9/14
Lamar Jackson,BAL,2,13,6.5,0,0,11,0,0,9/14
Jordan Love,GB,3,12,4,0,1,14,0,0,9/14
Troy Franklin,DEN,1,11,11,0,1,11,0,0,9/14
Braelon Allen,NYJ,2,11,5.5,0,0,8,0,0,9/14
TreVeyon Henderson,NE,3,10,3.3,0,1,6,0,0,9/14
Zach Charbonnet,SEA,15,10,0.7,0,0,6,0,0,9/14
Chimere Dike,TEN,2,9,4.5,0,0,5,0,0,9/14
Dyami Brown,JAX,1,9,9,0,0,9,0,0,9/14
Olamide Zaccheaus,CHI,1,9,9,0,0,9,0,0,9/14
Kalif Raymond,DET,1,9,9,0,0,9,0,0,9/14
Rico Dowdle,CAR,6,9,1.5,0,0,5,0,0,9/14
Isaiah Bond,CLE,1,9,9,0,0,9,0,0,9/14
Cam Ward,TEN,4,8,2,0,2,3,1,1,9/14
Joe Flacco,CIN,1,8,8,0,1,8,1,1,9/14
RJ Harvey,DEN,5,8,1.6,0,0,3,0,0,9/14
Ollie Gordon II,MIA,1,8,8,0,0,8,0,0,9/14
Kendre Miller,NO,5,8,1.6,0,0,6,0,0,9/14
Tyson Bagent,CHI,2,7,3.5,0,0,7,1,0,9/14
Amon-Ra St. Brown,DET,2,7,3.5,0,1,6,0,0,9/14
Justice Hill,BAL,3,7,2.3,0,0,6,0,0,9/14
Tre Tucker,LV,1,7,7,0,0,7,0,0,9/14
Mac Jones,SF,6,6,1,0,1,13,2,1,9/14
KaVontae Turpin,DAL,2,6,3,0,1,7,0,0,9/14
Jared Goff,DET,1,6,6,0,0,6,0,0,9/14
Ty Johnson,BUF,2,6,3,0,0,3,0,0,9/14
Elijah Moore,BUF,2,6,3,1,1,4,0,0,9/14
Dylan Sampson,CLE,4,6,1.5,0,2,3,0,0,9/14
Trevor Lawrence,JAX,2,4,2,0,1,3,1,0,9/14
Craig Reynolds,DET,3,4,1.3,0,0,3,0,0,9/14
Devin Singletary,NYG,1,4,4,0,0,4,0,0,9/14
Zay Flowers,BAL,1,4,4,0,0,4,0,0,9/14
Tyler Badie,DEN,1,3,3,0,0,3,0,0,9/14
Aaron Rodgers,PIT,1,3,3,0,0,3,0,0,9/14
Bryce Young,CAR,2,2,1,0,0,3,1,1,9/14
AJ Barner,SEA,1,2,2,0,1,2,0,0,9/14
Daniel Jones,IND,6,2,0.3,1,2,2,0,0,9/14
Brashard Smith,KC,1,2,2,0,0,2,0,0,9/14
Jacoby Brissett,ARI,1,2,2,0,1,2,0,0,9/14
Mark Andrews,BAL,1,2,2,0,1,2,0,0,9/14
Jake Browning,CIN,1,1,1,1,1,1,0,0,9/14
Kaleb Johnson,PIT,1,1,1,0,0,1,0,0,9/14
Tyler Warren,IND,1,0,0,0,0,0,0,0,9/14
Xavier Legette,CAR,1,0,0,0,0,0,0,0,9/14
Michael Penix Jr.,ATL,1,-1,-1,0,0,-1,0,0,9/14
Zamir White,LV,2,-2,-1,0,0,3,0,0,9/14
Quentin Johnston,LAC,1,-2,-2,0,0,-2,0,0,9/14
Jaxson Dart,NYG,1,-3,-3,0,0,-3,0,0,9/14
Mitchell Trubisky,BUF,3,-3,-1,0,0,-1,0,0,9/14
Ricky Pearsall,SF,1,-4,-4,0,0,-4,0,0,9/14
Cooper Rush,BAL,3,-4,-1.3,0,0,-1,0,0,9/14
Matthew Stafford,LAR,2,-6,-3,0,0,-2,1,0,9/14
Arian Smith,NYJ,1,-10,-10,0,0,-10,0,0,9/14
Derrick Henry,BAL,18,169,9.4,2,5,49,1,1,9/7
Travis Etienne Jr.,JAX,16,143,8.9,0,3,71,0,0,9/7
Breece Hall,NYJ,19,107,5.6,0,7,18,0,0,9/7
Jacory Croskey-Merritt,WAS,10,82,8.2,1,4,42,0,0,9/7
Jonathan Taylor,IND,18,71,3.9,0,3,15,0,0,9/7
Lamar Jackson,BAL,6,70,11.7,1,5,19,0,0,9/7
RJ Harvey,DEN,6,70,11.7,0,1,50,0,0,9/7
Christian McCaffrey,SF,22,69,3.1,0,6,13,0,0,9/7
Trey Benson,ARI,8,69,8.6,0,1,52,0,0,9/7
Jayden Daniels,WAS,11,68,6.2,0,3,14,0,0,9/7
Jordan Mason,MIN,15,68,4.5,0,3,19,0,0,9/7
Josh Jacobs,GB,19,66,3.5,1,3,15,0,0,9/7
Kyren Williams,LAR,18,66,3.7,1,3,9,0,0,9/7
J.K. Dobbins,DEN,16,63,3.9,1,2,19,0,0,9/7
Jalen Hurts,PHI,14,62,4.4,2,7,15,0,0,9/7
Tony Pollard,TEN,18,60,3.3,0,2,9,1,1,9/7
Saquon Barkley,PHI,18,60,3.3,1,4,16,0,0,9/7
Nick Chubb,HOU,13,60,4.6,0,4,13,0,0,9/7
Caleb Williams,CHI,6,58,9.7,1,4,13,0,0,9/7
Patrick Mahomes,KC,6,57,9.5,1,5,15,0,0,9/7
Chuba Hubbard,CAR,16,57,3.6,0,3,9,0,0,9/7
De'Von Achane,MIA,7,55,7.9,0,2,26,0,0,9/7
Javonte Williams,DAL,15,54,3.6,2,5,11,0,0,9/7
Miles Sanders,DAL,4,53,13.3,0,1,49,1,1,9/7
D'Andre Swift,CHI,17,53,3.1,0,2,13,0,0,9/7
Omarion Hampton,LAC,15,48,3.2,0,4,11,0,0,9/7
Justin Fields,NYJ,12,48,4,2,5,15,0,0,9/7
Zach Charbonnet,SEA,12,47,3.9,1,4,7,0,0,9/7
Alvin Kamara,NO,11,45,4.1,1,3,18,0,0,9/7
Russell Wilson,NYG,8,44,5.5,0,3,15,1,0,9/7
James Cook III,BUF,13,44,3.4,1,3,11,0,0,9/7
Chase Brown,CIN,21,43,2,1,3,8,0,0,9/7
DJ Giddens,IND,12,41,3.4,0,2,12,0,0,9/7
Bryce Young,CAR,5,40,8,0,2,22,1,1,9/7
Baker Mayfield,TB,5,39,7.8,0,3,20,0,0,9/7
James Conner,ARI,12,39,3.3,0,1,12,0,0,9/7
Ashton Jeanty,LV,19,38,2,1,2,9,0,0,9/7
Kyler Murray,ARI,7,38,5.4,0,3,13,0,0,9/7
Bucky Irving,TB,14,37,2.6,0,1,9,0,0,9/7
Jaylen Warren,PIT,11,37,3.4,0,1,9,0,0,9/7
Brian Robinson Jr.,SF,9,33,3.7,0,1,9,0,0,9/7
Justin Herbert,LAC,7,32,4.6,0,1,19,0,0,9/7
C.J. Stroud,HOU,5,32,6.4,0,3,14,0,0,9/7
Josh Allen,BUF,14,30,2.1,2,4,9,0,0,9/7
Dylan Sampson,CLE,12,29,2.4,0,2,5,0,0,9/7
Spencer Rattler,NO,4,29,7.3,0,1,12,0,0,9/7
TreVeyon Henderson,NE,5,27,5.4,0,1,14,0,0,9/7
Will Shipley,PHI,3,26,8.7,0,2,20,0,0,9/7
Daniel Jones,IND,7,26,3.7,2,4,11,0,0,9/7
Austin Ekeler,WAS,6,26,4.3,0,1,6,0,0,9/7
Isiah Pacheco,KC,5,25,5,0,1,10,0,0,9/7
David Montgomery,DET,11,25,2.3,0,1,6,0,0,9/7
Jeremy McNichols,WAS,4,25,6.3,0,2,13,0,0,9/7
J.J. McCarthy,MIN,2,25,12.5,1,2,14,0,0,9/7
Bijan Robinson,ATL,12,24,2,0,0,6,0,0,9/7
Kendre Miller,NO,5,24,4.8,0,1,10,0,0,9/7
Tyler Allgeier,ATL,10,24,2.4,0,1,5,0,0,9/7
Ty Johnson,BUF,2,24,12,0,1,17,0,0,9/7
Tyrone Tracy Jr.,NYG,10,24,2.4,0,1,6,0,0,9/7
Aaron Jones Sr.,MIN,8,23,2.9,0,1,9,0,0,9/7
Michael Penix Jr.,ATL,6,21,3.5,1,3,12,1,0,9/7
Kenneth Walker III,SEA,10,20,2,0,0,8,0,0,9/7
Kenneth Gainwell,PIT,7,19,2.7,0,1,6,1,0,9/7
Jahmyr Gibbs,DET,9,19,2.1,0,1,14,0,0,9/7
Deebo Samuel,WAS,1,19,19,1,1,19,0,0,9/7
Bo Nix,DEN,8,18,2.3,0,2,11,1,1,9/7
Isaiah Davis,NYJ,2,18,9,0,0,15,0,0,9/7
Brock Purdy,SF,5,17,3.4,0,0,9,0,0,9/7
Kareem Hunt,KC,5,16,3.2,0,2,6,0,0,9/7
Ashton Dulin,IND,1,15,15,0,1,15,0,0,9/7
Rhamondre Stevenson,NE,7,15,2.1,0,1,6,0,0,9/7
Sam Darnold,SEA,2,14,7,0,1,9,1,1,9/7
Rachaad White,TB,2,14,7,0,1,11,0,0,9/7
Rico Dowdle,CAR,3,12,4,0,0,9,0,0,9/7
Trevor Lawrence,JAX,4,12,3,0,2,10,0,0,9/7
Tank Bigsby,PHI,5,12,2.4,0,1,4,0,0,9/7
Drake Maye,NE,4,11,2.8,0,0,4,1,0,9/7
Bhayshul Tuten,JAX,3,11,3.7,0,1,8,0,0,9/7
A.J. Dillon,PHI,3,10,3.3,0,1,9,0,0,9/7
Geno Smith,LV,2,10,5,0,1,11,0,0,9/7
KaVontae Turpin,DAL,2,9,4.5,0,1,5,0,0,9/7
Dare Ogunbowale,HOU,2,9,4.5,0,0,7,1,1,9/7
Brian Thomas Jr.,JAX,1,9,9,1,1,9,0,0,9/7
Emeka Egbuka,TB,1,9,9,0,0,9,0,0,9/7
Chimere Dike,TEN,1,9,9,0,0,9,0,0,9/7
Malik Washington,MIA,1,9,9,0,0,9,0,0,9/7
Devin Neal,NO,2,9,4.5,0,0,5,0,0,9/7
Braelon Allen,NYJ,6,9,1.5,1,1,8,0,0,9/7
Devin Singletary,NYG,3,9,3,0,0,8,0,0,9/7
Jerome Ford,CLE,6,8,1.3,0,0,2,0,0,9/7
DJ Moore,CHI,3,8,2.7,0,1,5,1,1,9/7
Elijah Moore,BUF,1,8,8,0,1,8,0,0,9/7
Zay Flowers,BAL,2,8,4,0,0,8,0,0,9/7
Zamir White,LV,3,8,2.7,0,0,5,0,0,9/7
Tua Tagovailoa,MIA,1,7,7,0,0,7,1,1,9/7
LeQuint Allen Jr.,JAX,1,7,7,0,1,7,0,0,9/7
Joe Flacco,CIN,2,6,3,0,1,4,0,0,9/7
Dyami Brown,JAX,2,6,3,0,1,4,0,0,9/7
Rasheen Ali,BAL,1,5,5,0,0,5,0,0,9/7
Najee Harris,LAC,1,5,5,0,0,5,0,0,9/7
Jordan Whittington,LAR,1,5,5,0,0,5,0,0,9/7
Dameon Pierce,HOU,3,5,1.7,0,0,2,0,0,9/7
Xavier Hutchinson,HOU,1,5,5,0,1,5,0,0,9/7
Jordan Love,GB,3,4,1.3,0,1,3,0,0,9/7
Emanuel Wilson,GB,1,4,4,0,0,4,0,0,9/7
Ollie Gordon II,MIA,2,4,2,0,1,3,0,0,9/7
DeMario Douglas,NE,1,4,4,0,0,4,0,0,9/7
Trevor Etienne,CAR,1,4,4,0,0,4,0,0,9/7
Justin Jefferson,MIN,1,4,4,0,0,4,0,0,9/7
Dak Prescott,DAL,1,3,3,0,0,3,0,0,9/7
Derius Davis,LAC,1,3,3,0,0,3,0,0,9/7
Joe Burrow,CIN,2,3,1.5,0,0,2,0,0,9/7
Harold Fannin Jr.,CLE,1,3,3,0,0,3,0,0,9/7
Raheim Sanders,CLE,3,3,1,1,2,2,0,0,9/7
Jameson Williams,DET,1,3,3,0,0,3,0,0,9/7
Tucker Kraft,GB,1,3,3,0,0,3,0,0,9/7
Tyler Warren,IND,1,3,3,0,1,3,0,0,9/7
Zach Wilson,MIA,1,3,3,0,0,3,0,0,9/7
Woody Marks,HOU,3,3,1,0,0,2,0,0,9/7
Antonio Gibson,NE,1,3,3,0,0,3,0,0,9/7
Tyler Conklin,LAC,1,2,2,0,1,2,1,0,9/7
AJ Barner,SEA,1,2,2,0,1,2,0,0,9/7
Sean Tucker,TB,1,2,2,0,0,2,0,0,9/7
Ray Davis,BUF,1,2,2,0,0,2,0,0,9/7
Julius Chestnut,TEN,2,2,1,0,0,1,0,0,9/7
Blake Corum,LAR,1,2,2,0,0,2,0,0,9/7
Chris Brooks,GB,1,1,1,0,0,1,0,0,9/7
Puka Nacua,LAR,1,1,1,0,0,1,0,0,9/7
Jalen Milroe,SEA,1,1,1,0,0,1,0,0,9/7
Xavier Worthy,KC,1,0,0,0,0,0,0,0,9/7
Ulysses Bentley IV,IND,1,0,0,0,0,0,0,0,9/7
Jared Goff,DET,1,-1,-1,0,0,-1,0,0,9/7
Aaron Rodgers,PIT,1,-1,-1,0,0,-1,0,0,9/7
Matthew Stafford,LAR,4,-2,-0.5,0,0,0,1,0,9/7
Kaleb Johnson,PIT,1,-2,-2,0,0,-2,1,0,9/7
Cam Skattebo,NYG,2,-3,-1.5,0,0,-1,0,0,9/7
Justice Hill,BAL,2,-14,-7,0,0,1,1,0,9/7
