Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Tee Higgins,CIN,3,6,32,10.7,19,1,0,0,0,9/28
Adam Trautman,DEN,2,3,32,16,26,1,0,0,0,9/28
Saquon Barkley,PHI,4,4,31,7.8,15,2,0,0,0,9/28
Chase Brown,CIN,3,3,31,10.3,12,1,0,0,0,9/28
Mark Andrews,BAL,7,8,30,4.3,7,2,0,0,0,9/28
Jakobi Meyers,LV,4,7,30,7.5,10,1,0,0,0,9/28
KaVontae Turpin,DAL,3,4,30,10,15,3,0,0,0,9/28
Calvin Ridley,TEN,2,3,30,15,22,2,0,0,0,9/28
Dalton Schultz,HOU,5,6,30,6,9,1,0,0,0,9/28
Breece Hall,NYJ,5,6,30,6,8,2,0,0,0,9/28
Kenneth Walker III,SEA,1,2,29,29,29,1,0,0,0,9/28
DeVonta Smith,PHI,2,2,29,14.5,20,2,0,0,0,9/28
Rachaad White,TB,4,5,29,7.3,12,1,0,0,0,9/28
Evan Engram,DEN,4,7,29,7.3,11,0,0,0,0,9/28
Dalton Kincaid,BUF,1,2,28,28,28,1,1,0,0,9/28
Juwan Johnson,NO,3,3,28,9.3,17,2,0,0,0,9/28
Brashard Smith,KC,3,4,27,9,17,2,0,0,0,9/28
Darren Waller,MIA,3,4,27,9,14,3,2,0,0,9/28
Cooper Kupp,SEA,4,5,26,6.5,11,1,0,0,0,9/28
Chris Godwin Jr.,TB,3,10,26,8.7,11,1,0,0,0,9/28
Joshua Palmer,BUF,2,3,25,12.5,14,1,0,0,0,9/28
Tyler Higbee,LAR,2,5,25,12.5,16,1,0,0,0,9/28
Harold Fannin Jr.,CLE,2,6,24,12,13,1,0,0,0,9/28
Rashod Bateman,BAL,1,2,24,24,24,1,0,0,0,9/28
Josh Downs,IND,4,5,24,6,8,2,0,0,0,9/28
Austin Hooper,NE,1,1,24,24,24,1,0,0,0,9/28
Jauan Jennings,SF,2,4,24,12,14,2,0,0,0,9/28
Jayden Higgins,HOU,1,1,24,24,24,1,1,0,0,9/28
Mitchell Evans,CAR,3,4,23,7.7,16,2,1,0,0,9/28
Hunter Long,JAX,3,3,23,7.7,11,3,1,0,0,9/28
Ja'Marr Chase,CIN,5,8,23,4.6,10,0,0,0,0,9/28
Jeremy Ruckert,NYJ,1,1,23,23,12,1,0,0,0,9/28
Brandin Cooks,NO,3,4,22,7.3,9,1,0,0,0,9/28
Savion Williams,GB,3,3,22,7.3,16,0,0,0,0,9/28
D'Andre Swift,CHI,4,6,22,5.5,7,1,0,0,0,9/28
Andrei Iosivas,CIN,1,1,22,22,22,1,0,0,0,9/28
Zach Ertz,WAS,2,4,21,10.5,14,1,0,1,0,9/28
Luke McCaffrey,WAS,2,3,21,10.5,16,1,1,0,0,9/28
Luke Farrell,SF,2,2,20,10,11,1,0,1,1,9/28
Chris Olave,NO,3,6,20,6.7,10,2,1,0,0,9/28
Jonathan Taylor,IND,5,5,20,4,10,1,0,0,0,9/28
Chuba Hubbard,CAR,3,3,20,6.7,14,1,0,0,0,9/28
Malik Nabers,NYG,2,3,20,10,13,1,0,0,0,9/28
Darnell Washington,PIT,3,3,20,6.7,8,0,0,0,0,9/28
Demarcus Robinson,SF,1,2,20,20,20,1,0,0,0,9/28
Christian Kirk,HOU,3,4,20,6.7,12,1,0,0,0,9/28
Trey Benson,ARI,5,5,19,3.8,10,1,0,0,0,9/28
Casey Washington,ATL,1,3,19,19,19,1,0,0,0,9/28
Dontayvion Wicks,GB,2,4,19,9.5,15,1,0,0,0,9/28
Julian Hill,MIA,1,2,19,19,19,1,0,0,0,9/28
Jaylin Lane,WAS,2,3,18,9,11,1,0,2,0,9/28
James Cook III,BUF,3,4,18,6,11,1,0,0,0,9/28
Kayshon Boutte,NE,1,3,18,18,18,1,0,0,0,9/28
Isaiah Davis,NYJ,2,2,18,9,14,1,0,0,0,9/28
Ashton Jeanty,LV,2,2,17,8.5,9,2,2,1,1,9/28
Kyren Williams,LAR,3,4,17,5.7,10,1,0,1,1,9/28
Jake Bobo,SEA,1,1,17,17,17,1,0,0,0,9/28
Miles Sanders,DAL,2,2,17,8.5,9,0,0,0,0,9/28
Colby Parkinson,LAR,2,2,17,8.5,9,1,0,0,0,9/28
James Mitchell,CAR,2,2,17,8.5,9,1,0,0,0,9/28
Theo Johnson,NYG,3,5,17,5.7,10,2,1,0,0,9/28
Kendrick Bourne,SF,1,4,17,17,17,1,0,0,0,9/28
Xavier Hutchinson,HOU,2,3,17,8.5,9,1,0,0,0,9/28
Derrick Henry,BAL,2,3,16,8,10,0,0,0,0,9/28
Oronde Gadsden,LAC,2,3,16,8,11,1,0,0,0,9/28
Grant Calcaterra,PHI,1,2,16,16,16,1,0,0,0,9/28
Jordan Mason,MIN,3,3,15,5,13,1,0,1,0,9/28
Michael Wilson,ARI,3,6,15,5,6,2,0,0,0,9/28
Darnell Mooney,ATL,1,1,15,15,15,1,0,0,0,9/28
Jackson Hawes,BUF,1,1,15,15,15,1,0,0,0,9/28
