Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Puka Nacua,LAR,9,14,165,18.3,44,6,1,0,0,1/25
Jaxon Smith-Njigba,SEA,10,12,153,15.3,42,9,1,0,0,1/25
Davante Adams,LAR,4,6,89,22.3,35,4,1,0,0,1/25
Colby Parkinson,LAR,3,4,62,20.7,40,3,0,1,0,1/25
Marvin Mims Jr.,DEN,4,6,62,15.5,52,2,0,0,0,1/25
Rashid Shaheed,SEA,1,3,51,51,51,1,0,0,0,1/25
Mack Hollins,NE,2,2,51,25.5,31,2,0,0,0,1/25
Kenneth Walker III,SEA,4,4,49,12.3,15,3,0,0,0,1/25
Cooper Kupp,SEA,4,6,36,9,13,3,1,0,0,1/25
George Holani,SEA,3,4,27,9,13,1,0,0,0,1/25
Blake Corum,LAR,3,3,24,8,15,1,0,0,0,1/25
RJ Harvey,DEN,4,6,22,5.5,11,2,0,0,0,1/25
Kyren Williams,LAR,2,2,22,11,13,2,1,0,0,1/25
Evan Engram,DEN,2,3,19,9.5,12,1,0,0,0,1/25
Stefon Diggs,NE,5,6,17,3.4,6,0,0,0,0,1/25
Jake Bobo,SEA,1,2,17,17,17,1,1,0,0,1/25
Courtland Sutton,DEN,3,5,17,5.7,6,1,1,0,0,1/25
AJ Barner,SEA,2,3,13,6.5,7,1,0,1,0,1/25
Tyler Higbee,LAR,1,1,12,12,12,1,0,0,0,1/25
Hunter Henry,NE,2,3,12,6,9,0,0,0,0,1/25
Kayshon Boutte,NE,1,6,6,6,6,0,0,0,0,1/25
Lil'Jordan Humphrey,DEN,1,3,5,5,5,1,0,0,0,1/25
Elijah Moore,DEN,1,1,4,4,4,0,0,0,0,1/25
Jaleel McLaughlin,DEN,1,2,2,2,2,0,0,0,0,1/25
Pat Bryant,DEN,1,1,2,2,2,1,0,0,0,1/25
Ronnie Rivers,LAR,0,1,0,-,-,0,0,0,0,1/25
DeMario Douglas,NE,0,1,0,-,-,0,0,0,0,1/25
Terrance Ferguson,LAR,0,1,0,-,-,0,0,0,0,1/25
Konata Mumpfield,LAR,0,2,0,-,-,0,0,0,0,1/25
Rhamondre Stevenson,NE,0,2,0,-,-,0,0,0,0,1/25
Marvin Mims Jr.,DEN,8,8,93,11.6,27,5,1,0,0,1/18
Dalton Kincaid,BUF,6,6,83,13.8,25,4,1,0,0,1/18
Khalil Shakir,BUF,7,9,75,10.7,46,3,0,0,0,1/18
Kayshon Boutte,NE,3,5,75,25,32,3,1,0,0,1/18
Cooper Kupp,SEA,5,5,60,12,21,3,0,0,0,1/18
Jayden Higgins,HOU,6,10,59,9.8,16,2,0,0,0,1/18
Jake Tonges,SF,5,6,59,11.8,16,4,0,1,1,1/18
Puka Nacua,LAR,5,10,56,11.2,16,4,0,0,0,1/18
Colby Parkinson,LAR,3,7,56,18.7,35,2,0,0,0,1/18
Colston Loveland,CHI,4,10,56,14,23,3,0,0,0,1/18
Courtland Sutton,DEN,4,9,53,13.3,25,3,0,0,0,1/18
DJ Moore,CHI,5,8,52,10.4,34,2,1,0,0,1/18
Dalton Schultz,HOU,2,2,47,23.5,42,1,0,0,0,1/18
RJ Harvey,DEN,5,6,46,9.2,24,1,0,0,0,1/18
Rome Odunze,CHI,2,6,44,22,27,2,0,0,0,1/18
Xavier Hutchinson,HOU,4,13,44,11,23,2,0,0,0,1/18
Stefon Diggs,NE,4,6,40,10,14,2,1,0,0,1/18
Christian McCaffrey,SF,5,6,39,7.8,11,3,0,0,0,1/18
Kyle Monangai,CHI,4,4,36,9,16,2,0,0,0,1/18
DeMario Douglas,NE,2,2,36,18,28,1,1,0,0,1/18
Jordan Whittington,LAR,2,2,35,17.5,20,2,0,0,0,1/18
Lil'Jordan Humphrey,DEN,2,5,33,16.5,29,1,1,0,0,1/18
Ray Davis,BUF,2,2,33,16.5,24,1,0,0,0,1/18
Dawson Knox,BUF,3,5,32,10.7,13,2,0,0,0,1/18
Pat Bryant,DEN,3,3,32,10.7,15,2,0,0,0,1/18
Cole Kmet,CHI,3,3,31,10.3,14,2,1,0,0,1/18
Kyren Williams,LAR,4,5,30,7.5,14,2,0,0,0,1/18
Kenneth Walker III,SEA,3,3,29,9.7,15,2,0,0,0,1/18
Tyler Higbee,LAR,1,2,27,27,27,1,0,0,0,1/18
Davante Adams,LAR,2,6,24,12,12,2,0,0,0,1/18
Luther Burden III,CHI,3,7,24,8,11,0,0,0,0,1/18
James Cook III,BUF,2,3,24,12,24,1,0,1,1,1/18
Jauan Jennings,SF,2,5,23,11.5,19,1,0,0,0,1/18
Harrison Bryant,HOU,3,6,21,7,9,1,0,0,0,1/18
Brandin Cooks,BUF,2,6,20,10,15,1,0,0,0,1/18
Christian Kirk,HOU,2,6,20,10,10,2,1,0,0,1/18
Terrance Ferguson,LAR,1,5,19,19,19,1,0,0,0,1/18
Woody Marks,HOU,2,3,19,9.5,13,1,0,1,1,1/18
Jaxon Smith-Njigba,SEA,3,4,19,6.3,11,1,1,0,0,1/18
Jake Bobo,SEA,1,1,16,16,16,1,0,0,0,1/18
Austin Hooper,NE,1,2,14,14,14,1,0,0,0,1/18
Rhamondre Stevenson,NE,4,4,11,2.8,9,0,0,0,0,1/18
Konata Mumpfield,LAR,2,3,11,5.5,6,0,0,0,0,1/18
Kyle Juszczyk,SF,1,1,11,11,11,1,0,1,0,1/18
Keon Coleman,BUF,1,3,10,10,10,1,1,0,0,1/18
Olamide Zaccheaus,CHI,1,2,9,9,9,0,0,0,0,1/18
Evan Engram,DEN,1,3,7,7,7,0,0,0,0,1/18
Tyler Badie,DEN,1,2,7,7,7,0,0,0,0,1/18
Frank Crum,DEN,1,1,7,7,7,1,1,0,0,1/18
Jordan James,SF,1,1,7,7,7,1,0,0,0,1/18
Durham Smythe,CHI,1,1,5,5,5,0,0,0,0,1/18
Hunter Henry,NE,1,2,5,5,5,0,0,0,0,1/18
Mecole Hardman Jr.,BUF,1,2,4,4,4,1,1,0,0,1/18
Brian Robinson Jr.,SF,1,1,3,3,3,0,0,0,0,1/18
Curtis Samuel,BUF,1,3,2,2,2,0,0,0,0,1/18
Cade Stover,HOU,1,3,2,2,2,0,0,0,0,1/18
Luke Farrell,SF,1,2,1,1,1,0,0,0,0,1/18
Demarcus Robinson,SF,1,1,1,1,1,0,0,0,0,1/18
Nate Adkins,DEN,1,1,1,1,1,0,0,0,0,1/18
Kyle Williams,NE,0,3,0,-,-,0,0,0,0,1/18
Nick Chubb,HOU,0,1,0,-,-,0,0,0,0,1/18
Jaylin Noel,HOU,0,1,0,-,-,0,0,0,0,1/18
Theo Benedet,CHI,0,1,0,-,-,0,0,0,0,1/18
Robbie Ouzts,SEA,0,1,0,-,-,0,0,0,0,1/18
Rashid Shaheed,SEA,0,2,0,-,-,0,0,0,0,1/18
Ricky Pearsall,SF,0,2,0,-,-,0,0,0,0,1/18
Kendrick Bourne,SF,0,2,0,-,-,0,0,0,0,1/18
Adam Prentice,DEN,0,1,0,-,-,0,0,0,0,1/18
Adam Trautman,DEN,0,2,0,-,-,0,0,0,0,1/18
Jaleel McLaughlin,DEN,0,1,0,-,-,0,0,0,0,1/18
TreVeyon Henderson,NE,1,2,-2,-2,-2,0,0,0,0,1/18
Christian Kirk,HOU,8,9,144,18,46,6,1,0,0,1/11
Colston Loveland,CHI,8,15,137,17.1,29,6,0,0,0,1/11
Jalen Coker,CAR,9,12,134,14.9,52,5,1,0,0,1/11
Romeo Doubs,GB,8,11,124,15.5,34,7,1,0,0,1/11
Puka Nacua,LAR,10,18,111,11.1,18,7,1,0,0,1/11
Demarcus Robinson,SF,6,7,111,18.5,61,5,1,0,0,1/11
Parker Washington,JAX,7,12,107,15.3,34,5,1,0,0,1/11
Matthew Golden,GB,4,5,84,21,36,4,1,0,0,1/11
Khalil Shakir,BUF,12,12,82,6.8,18,3,0,0,0,1/11
Tetairoa McMillan,CAR,5,7,81,16.2,22,5,0,0,0,1/11
Rhamondre Stevenson,NE,3,4,75,25,48,3,0,0,0,1/11
Davante Adams,LAR,5,13,72,14.4,23,4,0,0,0,1/11
DeVonta Smith,PHI,8,11,70,8.8,15,2,0,0,0,1/11
Kayshon Boutte,NE,4,4,66,16.5,42,2,0,0,0,1/11
Christian McCaffrey,SF,6,8,66,11,29,4,2,0,0,1/11
DJ Moore,CHI,6,7,64,10.7,25,3,1,0,0,1/11
Hunter Henry,NE,3,5,64,21.3,28,3,1,0,0,1/11
Brandin Cooks,BUF,3,5,58,19.3,36,3,0,0,0,1/11
Kyle Juszczyk,SF,4,4,49,12.3,27,2,0,0,0,1/11
Travis Etienne Jr.,JAX,5,5,49,9.8,14,3,1,0,0,1/11
Tyler Higbee,LAR,2,3,45,22.5,36,1,0,0,0,1/11
Jauan Jennings,SF,1,3,45,45,45,1,0,0,0,1/11
Rome Odunze,CHI,2,6,44,22,27,2,0,0,0,1/11
Jayden Reed,GB,4,7,43,10.8,20,2,1,0,0,1/11
Luther Burden III,CHI,3,7,42,14,25,3,0,0,0,1/11
DK Metcalf,PIT,2,5,42,21,25,2,0,0,0,1/11
Jayden Higgins,HOU,3,4,39,13,16,3,0,0,0,1/11
D'Andre Swift,CHI,2,2,38,19,23,2,0,0,0,1/11
Christian Watson,GB,3,7,36,12,22,2,1,1,0,1/11
Keon Coleman,BUF,1,1,36,36,36,1,0,0,0,1/11
Colby Parkinson,LAR,2,3,34,17,19,2,1,0,0,1/11
Dallas Goedert,PHI,4,7,33,8.3,15,2,1,0,0,1/11
Ladd McConkey,LAC,3,4,32,10.7,20,2,0,0,0,1/11
Oronde Gadsden,LAC,3,3,30,10,10,2,0,0,0,1/11
Dawson Knox,BUF,3,3,30,10,24,1,0,0,0,1/11
Dalton Kincaid,BUF,3,5,28,9.3,15,2,1,0,0,1/11
Kenneth Gainwell,PIT,4,6,26,6.5,12,0,0,0,0,1/11
Marquez Valdes-Scantling,PIT,3,5,26,8.7,14,1,0,0,0,1/11
Keenan Allen,LAC,3,8,25,8.3,10,2,0,0,0,1/11
Saquon Barkley,PHI,3,6,25,8.3,20,1,0,0,0,1/11
A.J. Brown,PHI,3,7,25,8.3,10,1,0,0,0,1/11
Adam Thielen,PIT,2,2,25,12.5,21,2,0,0,0,1/11
Kyle Monangai,CHI,1,3,22,22,22,1,0,0,0,1/11
Tommy Tremble,CAR,3,3,22,7.3,11,1,0,0,0,1/11
Xavier Hutchinson,HOU,2,4,21,10.5,16,1,0,0,0,1/11
Brian Thomas Jr.,JAX,2,2,21,10.5,18,2,1,0,0,1/11
Nico Collins,HOU,3,7,21,7,13,1,0,0,0,1/11
Kimani Vidal,LAC,2,3,20,10,11,0,0,0,0,1/11
Tre' Harris,LAC,2,3,20,10,14,2,0,0,0,1/11
Efton Chism III,NE,1,1,20,20,20,1,0,0,0,1/11
Quentin Johnston,LAC,3,6,20,6.7,9,0,0,0,0,1/11
Kyren Williams,LAR,2,2,18,9,13,1,1,0,0,1/11
Pat Freiermuth,PIT,1,3,18,18,18,1,0,0,0,1/11
Stefon Diggs,NE,2,5,16,8,9,1,0,0,0,1/11
Jake Tonges,SF,1,3,14,14,14,1,0,0,0,1/11
Gabe Davis,BUF,2,3,14,7,9,1,0,0,0,1/11
Tyrell Shavers,BUF,1,2,14,14,14,1,0,0,0,1/11
Blake Corum,LAR,2,2,13,6.5,9,0,0,0,0,1/11
Chuba Hubbard,CAR,2,4,13,6.5,7,1,0,0,0,1/11
Cade Stover,HOU,2,2,13,6.5,8,0,0,0,0,1/11
Tucker Fisk,LAC,3,3,12,4,7,0,0,0,0,1/11
Jakobi Meyers,JAX,1,4,12,12,12,1,0,0,0,1/11
Dalton Schultz,HOU,3,4,12,4,6,1,0,0,0,1/11
Chris Brooks,GB,1,1,11,11,11,0,0,0,0,1/11
Konata Mumpfield,LAR,1,1,11,11,11,1,0,0,0,1/11
LeQuint Allen Jr.,JAX,1,1,9,9,9,0,0,0,0,1/11
Luke Musgrave,GB,1,2,9,9,9,0,0,0,0,1/11
TreVeyon Henderson,NE,1,1,9,9,9,0,0,0,0,1/11
Darius Cooper,PHI,1,1,9,9,9,1,0,0,0,1/11
Brenton Strange,JAX,2,5,9,4.5,9,0,0,0,0,1/11
Olamide Zaccheaus,CHI,1,2,8,8,8,1,1,0,0,1/11
Xavier Legette,CAR,1,4,8,8,8,0,0,0,0,1/11
Jack Westover,NE,1,1,8,8,8,1,0,0,0,1/11
Calvin Austin III,PIT,3,6,8,2.7,6,1,0,0,0,1/11
Josh Whyle,GB,1,1,7,7,7,0,0,0,0,1/11
Kyle Williams,NE,1,1,7,7,7,1,0,0,0,1/11
Durham Smythe,CHI,1,2,6,6,6,0,0,0,0,1/11
Darian Kinnard,GB,1,1,6,6,6,0,0,1,0,1/11
Will Shipley,PHI,1,1,6,6,6,0,0,0,0,1/11
Rico Dowdle,CAR,1,2,6,6,6,0,0,0,0,1/11
George Kittle,SF,1,2,6,6,6,0,0,0,0,1/11
Frank Gore Jr.,BUF,1,1,6,6,6,0,0,0,0,1/11
James Cook III,BUF,2,3,5,2.5,4,0,0,0,0,1/11
Jaylen Warren,PIT,1,1,4,4,4,0,0,0,0,1/11
Josh Jacobs,GB,1,3,3,3,3,0,0,1,0,1/11
DeMario Douglas,NE,1,2,3,3,3,0,0,0,0,1/11
Cole Kmet,CHI,0,2,0,-,-,0,0,0,0,1/11
Austin Hooper,NE,0,2,0,-,-,0,0,0,0,1/11
Drake Maye,NE,0,1,0,-,-,0,0,2,1,1/11
Skyy Moore,SF,0,1,0,-,-,0,0,1,0,1/11
James Mitchell,CAR,0,1,0,-,-,0,0,0,0,1/11
Brycen Tremayne,CAR,0,1,0,-,-,0,0,0,0,1/11
Mitchell Evans,CAR,0,1,0,-,-,0,0,0,0,1/11
Jimmy Horn Jr.,CAR,0,2,0,-,-,0,0,0,0,1/11
Jahan Dotson,PHI,0,1,0,-,-,0,0,0,0,1/11
Malik Turner,SF,0,1,0,-,-,0,0,0,0,1/11
Luke Farrell,SF,0,1,0,-,-,0,0,0,0,1/11
Tim Patrick,JAX,0,1,0,-,-,0,0,0,0,1/11
Jaylin Noel,HOU,0,1,0,-,-,0,0,0,0,1/11
Woody Marks,HOU,0,1,0,-,-,0,0,0,0,1/11
Jonnu Smith,PIT,2,3,-1,-0.5,0,0,0,0,0,1/11
Luther Burden III,CHI,8,9,138,17.3,35,6,1,0,0,12/28
Chris Olave,NO,8,11,119,14.9,60,5,1,0,0,12/28
Parker Washington,JAX,8,10,115,14.4,37,4,0,0,0,12/28
Jalen McMillan,TB,7,9,114,16.3,33,4,0,0,0,12/28
Christian Watson,GB,5,6,113,22.6,39,5,1,0,0,12/28
Wan'Dale Robinson,NYG,11,14,113,10.3,36,5,0,0,0,12/28
Chris Godwin Jr.,TB,7,8,108,15.4,59,5,1,0,0,12/28
Brandin Cooks,BUF,4,6,101,25.3,50,3,0,0,0,12/28
Stefon Diggs,NE,6,6,101,16.8,31,5,1,0,0,12/28
Quentin Johnston,LAC,5,8,98,19.6,60,4,0,0,0,12/28
Juwan Johnson,NO,4,4,95,23.8,39,3,0,0,0,12/28
Colston Loveland,CHI,6,10,94,15.7,36,5,1,0,0,12/28
Michael Wilson,ARI,5,10,89,17.8,38,4,1,0,0,12/28
Michael Mayer,LV,9,10,89,9.9,19,4,0,0,0,12/28
Jayden Higgins,HOU,2,4,88,44,75,2,1,0,0,12/28
KaVontae Turpin,DAL,1,1,86,86,86,1,1,0,0,12/28
Ricky Pearsall,SF,5,8,85,17,30,4,0,0,0,12/28
George Pickens,DAL,4,5,78,19.5,21,4,0,0,0,12/28
Trey McBride,ARI,10,13,76,7.6,18,4,1,0,0,12/28
Jaxon Smith-Njigba,SEA,9,12,72,8,18,3,0,0,0,12/28
Amon-Ra St. Brown,DET,8,13,68,8.5,23,5,0,0,0,12/28
Deebo Samuel,WAS,2,4,68,34,41,2,0,0,0,12/28
A.J. Brown,PHI,5,7,68,13.6,27,3,0,0,0,12/28
Xavier Smith,LAR,4,6,67,16.8,36,3,0,0,0,12/28
Terry McLaurin,WAS,5,7,63,12.6,16,4,0,0,0,12/28
Pat Freiermuth,PIT,3,5,63,21,29,3,0,0,0,12/28
Theo Wease Jr.,MIA,1,1,63,63,63,1,1,0,0,12/28
Romeo Doubs,GB,3,3,62,20.7,40,3,0,0,0,12/28
Ja'Marr Chase,CIN,7,9,60,8.6,22,4,2,0,0,12/28
Jake Tonges,SF,7,9,60,8.6,18,6,1,0,0,12/28
Tee Higgins,CIN,4,5,59,14.8,39,2,0,0,0,12/28
Greg Dulcich,MIA,5,6,58,11.6,23,3,1,0,0,12/28
Nico Collins,HOU,3,4,57,19,23,3,0,0,0,12/28
Chig Okonkwo,TEN,3,7,55,18.3,43,1,1,0,0,12/28
Chimere Dike,TEN,4,5,55,13.8,38,2,0,0,0,12/28
Rhamondre Stevenson,NE,5,5,55,11,22,3,1,0,0,12/28
Jerry Jeudy,CLE,5,7,54,10.8,15,4,0,0,0,12/28
Jaylin Noel,HOU,3,4,54,18,43,1,1,0,0,12/28
Brenton Strange,JAX,3,5,54,18,20,3,0,0,0,12/28
Terrance Ferguson,LAR,2,4,54,27,27,2,1,0,0,12/28
Dante Pettis,NO,3,4,53,17.7,32,1,0,1,1,12/28
Colby Parkinson,LAR,6,7,53,8.8,16,1,0,0,0,12/28
Kevin Austin Jr.,NO,4,5,52,13,36,2,1,0,0,12/28
Isaac TeSlaa,DET,3,4,49,16.3,28,3,1,0,0,12/28
Tre Tucker,LV,5,6,49,9.8,26,1,0,0,0,12/28
Hunter Henry,NE,3,3,49,16.3,23,3,1,0,0,12/28
Mike Gesicki,CIN,2,2,47,23.5,32,2,0,0,0,12/28
Puka Nacua,LAR,5,10,47,9.4,11,2,1,0,0,12/28
CeeDee Lamb,DAL,5,10,46,9.2,24,2,0,0,0,12/28
Van Jefferson,TEN,3,3,46,15.3,27,2,0,0,0,12/28
Tyler Warren,IND,5,5,43,8.6,14,4,0,0,0,12/28
AJ Barner,SEA,3,3,43,14.3,17,3,1,0,0,12/28
Cedric Tillman,CLE,1,1,42,42,42,1,0,0,0,12/28
Jauan Jennings,SF,2,4,42,21,38,1,1,0,0,12/28
Jayden Reed,GB,4,4,41,10.3,30,1,0,0,0,12/28
Andrei Iosivas,CIN,4,6,41,10.3,12,4,0,0,0,12/28
John Metchie III,NYJ,3,3,41,13.7,18,2,0,0,0,12/28
Christian McCaffrey,SF,4,6,41,10.3,18,2,0,0,0,12/28
Courtland Sutton,DEN,4,10,40,10,23,3,0,0,0,12/28
Chase Brown,CIN,3,3,40,13.3,18,1,0,0,0,12/28
Efton Chism III,NE,2,2,40,20,30,2,1,0,0,12/28
Jakobi Meyers,JAX,6,9,39,6.5,9,2,0,1,1,12/28
Brian Thomas Jr.,JAX,4,7,39,9.8,17,2,0,0,0,12/28
Kyren Williams,LAR,3,3,38,12.7,21,2,0,0,0,12/28
Jameson Williams,DET,2,3,37,18.5,22,2,0,0,0,12/28
Elic Ayomanor,TEN,4,7,37,9.3,14,4,1,0,0,12/28
David Sills V,ATL,3,4,37,12.3,20,2,0,0,0,12/28
Travis Kelce,KC,5,6,36,7.2,14,2,0,0,0,12/28
Tyrell Shavers,BUF,2,3,36,18,32,2,0,0,0,12/28
Darius Slayton,NYG,2,3,36,18,21,2,0,0,0,12/28
Khalil Shakir,BUF,6,7,35,5.8,13,1,0,0,0,12/28
Darnell Mooney,ATL,2,3,35,17.5,22,2,0,0,0,12/28
Josh Downs,IND,2,5,34,17,18,2,0,0,0,12/28
Bo Melton,GB,1,3,34,34,34,1,0,0,0,12/28
Mason Kinsey,TEN,1,1,34,34,34,1,0,0,0,12/28
Bijan Robinson,ATL,5,8,34,6.8,11,3,1,0,0,12/28
Cade Otton,TB,4,4,33,8.3,13,1,0,0,0,12/28
RJ Harvey,DEN,5,6,33,6.6,13,2,1,0,0,12/28
Ty Johnson,BUF,3,4,33,11,21,1,0,0,0,12/28
Oronde Gadsden,LAC,3,6,32,10.7,25,2,1,0,0,12/28
Brevyn Spann-Ford,DAL,1,2,31,31,31,1,0,0,0,12/28
Jalen Tolbert,DAL,4,8,31,7.8,14,3,0,0,0,12/28
Ladd McConkey,LAC,1,2,31,31,31,1,0,0,0,12/28
Omarion Hampton,LAC,8,8,31,3.9,17,1,0,0,0,12/28
Tanner Hudson,CIN,2,2,31,15.5,18,2,0,0,0,12/28
Mike Evans,TB,3,7,31,10.3,16,3,1,0,0,12/28
Justin Jefferson,MIN,4,5,30,7.5,10,1,0,0,0,12/28
Zay Flowers,BAL,4,5,30,7.5,13,3,1,0,0,12/28
Dawson Knox,BUF,5,5,30,6,15,2,0,0,0,12/28
Harold Fannin Jr.,CLE,2,2,30,15,28,1,1,0,0,12/28
Isaiah Williams,NYJ,4,5,30,7.5,10,0,0,0,0,12/28
Jahdae Walker,CHI,2,4,30,15,19,1,0,0,0,12/28
Demarcus Robinson,SF,2,2,30,15,25,1,0,0,0,12/28
Ben Sinnott,WAS,3,4,29,9.7,12,2,0,0,0,12/28
De'Von Achane,MIA,3,3,29,9.7,20,1,0,0,0,12/28
Mark Andrews,BAL,4,4,28,7,9,1,0,0,0,12/28
Isaiah Likely,BAL,3,3,27,9,11,2,0,0,0,12/28
DeVonta Smith,PHI,2,5,25,12.5,14,2,0,0,0,12/28
Scotty Miller,PIT,3,7,25,8.3,15,2,0,0,0,12/28
Devin Singletary,NYG,4,4,25,6.3,12,1,0,0,0,12/28
D'Andre Swift,CHI,2,3,25,12.5,10,1,0,0,0,12/28
Kendrick Bourne,SF,1,1,25,25,25,1,0,0,0,12/28
Adam Trautman,DEN,2,2,24,12,13,2,0,0,0,12/28
Xavier Weaver,ARI,2,3,24,12,23,1,0,0,0,12/28
Jahmyr Gibbs,DET,2,3,23,11.5,13,1,0,1,1,12/28
Lil'Jordan Humphrey,DEN,2,5,23,11.5,17,1,0,0,0,12/28
Adonai Mitchell,NYJ,3,9,22,7.3,8,0,0,0,0,12/28
Marquez Valdes-Scantling,PIT,3,9,21,7,7,1,0,1,0,12/28
Evan Engram,DEN,4,4,21,5.3,8,0,0,0,0,12/28
Xavier Hutchinson,HOU,2,3,21,10.5,11,1,0,0,0,12/28
Cody Ford,CIN,1,1,21,21,21,1,0,0,0,12/28
Mo Alie-Cox,IND,3,3,20,6.7,8,1,1,0,0,12/28
Shedrick Jackson,LV,2,3,20,10,11,0,0,0,0,12/28
Emeka Egbuka,TB,3,5,20,6.7,7,0,0,0,0,12/28
Kyle Williams,NE,3,5,20,6.7,11,2,0,0,0,12/28
Dalton Schultz,HOU,3,4,19,6.3,11,0,0,1,0,12/28
Will Dissly,LAC,2,2,19,9.5,18,1,0,0,0,12/28
Brenden Bates,CLE,1,1,19,19,19,1,0,0,0,12/28
Gunner Olszewski,NYG,1,1,19,19,19,1,0,0,0,12/28
Tez Johnson,TB,2,2,19,9.5,17,1,0,0,0,12/28
Jonnu Smith,PIT,5,5,18,3.6,8,1,0,0,0,12/28
Breece Hall,NYJ,2,3,18,9,21,1,0,0,0,12/28
Stone Smartt,NYJ,2,3,18,9,12,2,0,0,0,12/28
Troy Franklin,DEN,4,4,17,4.3,6,2,0,0,0,12/28
Keenan Allen,LAC,1,3,17,17,17,1,0,0,0,12/28
JuJu Smith-Schuster,KC,3,3,16,5.3,12,1,0,0,0,12/28
Isaiah Bond,CLE,1,1,16,16,16,1,0,0,0,12/28
Michael Pittman Jr.,IND,2,3,16,8,12,1,0,0,0,12/28
Will Mallory,IND,1,1,16,16,16,1,0,0,0,12/28
Travis Etienne Jr.,JAX,2,3,16,8,15,1,0,0,0,12/28
Julian Hill,MIA,1,2,16,16,16,1,0,0,0,12/28
Cole Kmet,CHI,2,3,16,8,9,1,0,0,0,12/28
Jalen Coker,CAR,2,2,16,8,8,1,0,0,0,12/28
Kyle Pitts Sr.,ATL,2,3,16,8,11,1,0,0,0,12/28
Chris Moore,WAS,1,1,15,15,15,1,0,0,0,12/28
David Montgomery,DET,2,2,15,7.5,13,1,0,0,0,12/28
Luke Schoonmaker,DAL,2,2,15,7.5,10,1,0,0,0,12/28
Darnell Washington,PIT,2,2,15,7.5,11,0,0,0,0,12/28
Michael Bandy,DEN,2,2,14,7,8,1,0,0,0,12/28
Hunter Luepke,DAL,1,1,14,14,14,0,0,0,0,12/28
Michael Carter,ARI,2,4,14,7,8,0,0,0,0,12/28
Adam Thielen,PIT,2,5,14,7,11,0,0,0,0,12/28
Jonathan Taylor,IND,3,6,14,4.7,7,0,0,0,0,12/28
Bucky Irving,TB,5,6,14,2.8,12,0,0,0,0,12/28
Kyle Juszczyk,SF,2,2,14,7,8,1,1,0,0,12/28
Ashton Jeanty,LV,2,2,13,6.5,11,1,0,0,0,12/28
Matthew Golden,GB,1,3,12,12,12,0,0,0,0,12/28
Jeremy McNichols,WAS,3,3,12,4,7,0,0,0,0,12/28
Joshua Palmer,BUF,1,2,12,12,12,1,0,0,0,12/28
Ray Davis,BUF,1,1,12,12,12,1,0,0,0,12/28
Kenneth Gainwell,PIT,3,4,12,4,10,2,0,0,0,12/28
Dont'e Thornton Jr.,LV,2,4,12,6,7,1,0,0,0,12/28
Zach Charbonnet,SEA,2,2,12,6,10,1,0,0,0,12/28
Chris Brooks,GB,1,2,11,11,11,1,0,0,0,12/28
Treylon Burks,WAS,1,2,11,11,11,1,0,0,0,12/28
Sal Cannella,CLE,2,4,11,5.5,6,1,0,0,0,12/28
Daniel Bellinger,NYG,2,3,11,5.5,7,0,0,0,0,12/28
Austin Hooper,NE,2,2,11,5.5,9,1,1,0,0,12/28
Durham Smythe,CHI,1,1,11,11,11,1,0,0,0,12/28
Marvin Mims Jr.,DEN,3,4,10,3.3,7,1,0,0,0,12/28
Aaron Jones Sr.,MIN,3,4,10,3.3,10,0,0,0,0,12/28
Raheim Sanders,CLE,1,2,10,10,10,0,0,0,0,12/28
Tony Pollard,TEN,2,2,10,5,10,1,0,0,0,12/28
Moliki Matavao,NO,2,2,10,5,6,0,0,0,0,12/28
DeMario Douglas,NE,1,2,10,10,10,0,0,0,0,12/28
Konata Mumpfield,LAR,2,5,10,5,6,0,0,0,0,12/28
Tahj Brooks,CIN,1,1,9,9,9,0,0,0,0,12/28
Emari Demercado,ARI,2,3,9,4.5,7,0,0,0,0,12/28
David Martin-Robinson,TEN,1,1,9,9,9,1,0,0,0,12/28
Isaiah Davis,NYJ,1,1,9,9,9,0,0,0,0,12/28
Tyler Lockett,LV,2,3,9,4.5,5,1,1,0,0,12/28
Kyle Monangai,CHI,3,4,9,3,11,1,0,0,0,12/28
Jimmy Horn Jr.,CAR,2,2,9,4.5,7,0,0,0,0,12/28
Rasheen Ali,BAL,2,3,8,4,5,0,0,0,0,12/28
Josh Oliver,MIN,1,2,8,8,8,1,0,0,0,12/28
Josh Whyle,GB,1,1,8,8,8,0,0,0,0,12/28
Emanuel Wilson,GB,1,1,8,8,8,1,0,0,0,12/28
Tre' Harris,LAC,1,1,8,8,8,1,0,0,0,12/28
Dallas Goedert,PHI,3,6,8,2.7,4,1,1,0,0,12/28
Samaje Perine,CIN,1,1,8,8,8,1,0,0,0,12/28
Drew Sample,CIN,1,1,8,8,8,0,0,0,0,12/28
Isaiah Hodgins,NYG,1,2,8,8,8,0,0,0,0,12/28
Cedrick Wilson Jr.,MIA,1,2,8,8,8,0,0,0,0,12/28
Rashid Shaheed,SEA,1,1,8,8,8,0,0,0,0,12/28
Hollywood Brown,KC,1,3,7,7,7,0,0,0,0,12/28
Dontayvion Wicks,GB,1,1,7,7,7,0,0,0,0,12/28
Rashod Bateman,BAL,1,1,7,7,7,0,0,0,0,12/28
Keaton Mitchell,BAL,2,2,7,3.5,7,0,0,0,0,12/28
Rachaad White,TB,2,2,7,3.5,6,0,0,0,0,12/28
